,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,steiner_nodesx,steiner_nodesz,I-index,doubles,q-corr
0,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 3, 4, 5]",89,67,26,39,25,19,102,5,37
1,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 3, 5, 4]",111,75,25,34,20,20,103,4,39
2,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 4, 3, 5]",87,65,25,38,23,19,94,5,41
3,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 5, 3, 4]",90,60,22,29,14,20,91,6,45
4,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 4, 5, 3]",92,66,25,35,17,20,100,4,40
5,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 2, 5, 4, 3]",91,62,23,31,13,20,96,6,42
6,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 2, 4, 5]",101,72,30,44,28,19,104,1,36
7,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 2, 5, 4]",101,75,27,39,23,20,101,2,40
8,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 2, 3, 5]",103,79,29,43,25,23,104,2,36
9,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 2, 3, 4]",86,64,26,34,14,23,101,4,40
10,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 2, 5, 3]",109,76,27,40,19,24,98,3,41
11,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 2, 4, 3]",87,65,27,36,13,23,98,4,41
12,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 4, 2, 5]",101,70,26,43,28,18,92,3,42
13,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 5, 2, 4]",110,73,24,38,20,19,93,2,44
14,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 3, 2, 5]",102,71,26,43,27,22,100,4,38
15,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 3, 2, 4]",102,75,26,38,17,22,105,2,38
16,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 5, 2, 3]",96,70,28,43,18,27,106,3,37
17,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 4, 2, 3]",100,70,30,43,16,26,110,2,35
18,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 4, 5, 2]",104,76,22,38,23,17,91,4,45
19,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 3, 5, 4, 2]",91,63,23,38,20,17,95,2,43
20,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 3, 5, 2]",105,77,22,38,22,21,91,5,45
21,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 3, 4, 2]",107,72,23,38,17,20,95,4,43
22,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 4, 5, 3, 2]",101,80,26,41,19,25,103,3,39
23,,6,37,pauli_polynomial_dynamic_ordering,"[0, 1, 5, 4, 3, 2]",88,69,26,41,17,24,103,4,39
24,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 3, 4, 5]",97,73,23,36,21,17,90,6,43
25,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 3, 5, 4]",97,69,23,31,16,18,91,5,45
26,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 4, 3, 5]",104,78,21,35,19,17,90,7,43
27,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 5, 3, 4]",104,74,20,26,10,18,91,7,45
28,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 4, 5, 3]",102,71,23,32,13,18,96,6,42
29,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 1, 5, 4, 3]",91,63,22,28,9,18,96,7,42
30,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 2, 4, 5]",98,71,27,43,25,19,96,3,40
31,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 2, 5, 4]",90,68,25,38,20,20,93,4,44
32,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 2, 3, 5]",93,67,27,43,23,24,104,4,36
33,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 2, 3, 4]",87,62,25,34,11,26,101,6,40
34,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 2, 5, 3]",87,63,25,40,17,25,98,5,41
35,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 2, 4, 3]",88,63,25,36,10,26,98,6,41
36,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 4, 2, 5]",99,75,26,42,25,18,94,2,41
37,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 5, 2, 4]",104,74,24,37,17,19,95,2,43
38,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 3, 2, 5]",93,67,28,43,25,23,102,2,37
39,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 3, 2, 4]",107,73,27,38,14,25,103,2,39
40,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 5, 2, 3]",99,75,28,43,16,28,108,3,36
41,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 4, 2, 3]",87,59,29,43,13,29,108,3,36
42,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 4, 5, 2]",91,68,24,37,20,17,93,3,44
43,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 1, 5, 4, 2]",109,77,24,37,17,17,97,2,42
44,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 3, 5, 2]",103,75,24,38,20,22,93,3,44
45,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 3, 4, 2]",97,70,23,38,14,23,93,4,44
46,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 1, 5, 3, 2]",99,77,26,41,17,26,105,3,38
47,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 1, 4, 3, 2]",111,82,25,41,14,27,101,5,40
48,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 1, 4, 5]",116,86,28,41,22,19,100,3,38
49,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 1, 5, 4]",95,65,27,36,17,20,101,3,40
50,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 1, 3, 5]",100,74,26,40,20,16,92,3,42
51,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 1, 3, 4]",102,68,22,27,8,20,89,5,46
52,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 1, 5, 3]",103,72,26,37,14,17,98,4,41
53,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 1, 4, 3]",105,74,23,29,7,20,94,6,43
54,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 1, 4, 5]",96,65,28,43,23,21,104,4,36
55,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 1, 5, 4]",103,72,27,38,18,22,105,4,38
56,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 1, 3, 5]",89,67,28,43,22,19,96,3,40
57,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 1, 3, 4]",97,64,23,30,9,25,89,6,46
58,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 1, 5, 3]",87,63,26,40,16,20,102,4,39
59,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 1, 4, 3]",96,72,22,32,8,25,94,7,43
60,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 1, 2, 5]",101,72,23,39,23,18,92,6,42
61,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 1, 2, 4]",98,70,23,35,13,22,97,4,42
62,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 1, 2, 5]",97,74,25,40,24,19,92,5,42
63,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 3, 1, 2, 4]",101,69,24,36,13,25,93,4,44
64,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 1, 2, 3]",101,71,28,43,15,28,110,4,35
65,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 4, 1, 2, 3]",101,67,27,43,14,30,106,5,37
66,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 1, 5, 2]",88,65,23,34,18,17,93,5,44
67,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 1, 4, 2]",105,73,24,35,13,20,97,3,42
68,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 1, 5, 2]",101,67,23,35,19,18,93,4,44
69,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 3, 1, 4, 2]",86,63,23,36,13,23,93,3,44
70,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 1, 3, 2]",106,77,28,41,16,26,105,2,38
71,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 4, 1, 3, 2]",101,70,27,41,15,28,101,3,40
72,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 4, 1, 5]",105,71,25,42,23,17,100,5,38
73,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 5, 1, 4]",89,66,24,34,14,22,101,4,40
74,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 3, 1, 5]",104,70,25,42,23,14,92,4,42
75,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 3, 1, 4]",98,66,22,30,11,22,89,4,46
76,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 5, 1, 3]",109,75,25,36,14,16,98,3,41
77,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 4, 1, 3]",103,72,23,32,11,19,94,4,43
78,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 4, 1, 5]",96,72,29,44,24,19,106,2,35
79,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 5, 1, 4]",98,74,26,36,15,24,103,3,39
80,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 3, 1, 5]",103,76,30,45,25,17,106,1,35
81,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 3, 1, 4]",99,67,25,33,12,27,99,3,41
82,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 5, 1, 3]",92,69,26,39,16,19,100,2,40
83,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 4, 1, 3]",93,74,24,35,12,24,96,3,42
84,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 2, 1, 5]",99,75,25,41,24,17,96,5,40
85,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 2, 1, 4]",103,74,23,34,13,25,93,5,44
86,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 2, 1, 5]",98,74,26,42,25,18,104,5,36
87,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 3, 2, 1, 4]",96,65,24,35,13,28,101,5,40
88,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 2, 1, 3]",98,73,25,39,16,24,98,4,41
89,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 4, 2, 1, 3]",93,69,25,39,15,26,98,4,41
90,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 5, 1, 2]",94,67,22,32,16,17,95,6,43
91,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 4, 1, 2]",112,79,23,33,14,20,95,5,43
92,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 5, 1, 2]",96,63,21,33,17,18,95,6,43
93,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 3, 4, 1, 2]",116,76,20,34,14,23,91,7,45
94,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 3, 1, 2]",109,77,24,36,17,22,95,4,43
95,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 4, 3, 1, 2]",103,78,22,36,16,24,91,6,45
96,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 4, 5, 1]",100,72,24,37,22,15,99,5,41
97,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 3, 5, 4, 1]",96,68,24,34,18,19,99,4,41
98,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 3, 5, 1]",99,71,23,37,22,12,91,5,45
99,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 3, 4, 1]",101,69,20,30,15,19,87,6,47
100,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 4, 5, 3, 1]",106,74,23,34,19,13,91,3,45
101,,6,37,pauli_polynomial_dynamic_ordering,"[0, 2, 5, 4, 3, 1]",102,75,20,30,16,16,87,5,47
102,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 4, 5, 1]",93,67,28,39,23,17,105,2,38
103,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 2, 5, 4, 1]",108,78,26,36,19,21,101,3,40
104,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 3, 5, 1]",93,61,27,40,24,15,105,2,38
105,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 3, 4, 1]",113,78,23,33,16,24,97,5,42
106,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 2, 5, 3, 1]",104,76,25,37,21,16,93,2,44
107,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 2, 4, 3, 1]",93,63,23,33,17,21,89,4,46
108,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 2, 5, 1]",92,66,25,36,23,15,93,4,44
109,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 2, 4, 1]",99,72,25,34,17,22,93,3,44
110,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 2, 5, 1]",91,65,25,37,24,16,101,4,40
111,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 3, 2, 4, 1]",97,66,26,35,17,25,101,3,40
112,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 5, 2, 3, 1]",103,78,26,37,21,21,101,2,40
113,,6,37,pauli_polynomial_dynamic_ordering,"[0, 5, 4, 2, 3, 1]",97,71,27,37,20,23,101,2,40
114,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 4, 5, 2, 1]",97,67,22,32,20,16,91,6,45
115,,6,37,pauli_polynomial_dynamic_ordering,"[0, 3, 5, 4, 2, 1]",107,73,24,33,18,19,95,4,43
116,,6,37,pauli_polynomial_dynamic_ordering,"[0, 4, 3, 5, 2, 1]",95,70,22,33,21,17,91,6,45
